"Part";"Value";"Device";"Package";"Description";"ARROW_AMERICAS-PURCHASE-URL";"AVAILABILITY";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"MF";"MOUSER-PURCHASE-URL";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";
"U$3";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$5";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$6";"TEMP-HUM-SENSOR-DHT11";"TEMP-HUM-SENSOR-DHT11";"TEMP-HUM-SENSOR-DHT11";"DHT11 - digital humidity & temperature sensor";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$7";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$8";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$9";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$10";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$11";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$12";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$13";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$14";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$15";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$16";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"ESP-WROOM-32";"ESP-WROOM-32";"ESP-WROOM-32";"Espressif Systems ESP-WROOM-32";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Y1";"ECS-.327-12.5-13X";"ECS-.327-12.5-13X";"XTAL_ECS-.327-12.5-13X";"Crystal  Cylindrical Can, Radial";"";"Unavailable";" 32.768kHz ±20ppm Crystal 12.5pF 35 kOhms Cylindrical Can, Radial ";"";"ECS Inc.";"";"ECS-.327-12.5-13X";"";"";"";"Cylindrical Can Radial  ECS International";"";"None";
