"Part";"Value";"Device";"Package";"Description";"ARROW_AMERICAS-PURCHASE-URL";"AVAILABILITY";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"MF";"MOUSER-PURCHASE-URL";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";
"R15";"10k";"RES-US1206";"R1206";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R16";"100ohm";"RES-US1206";"R1206";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RTS";"FTDI-SMD-HEADER";"FTDI-SMD-HEADER";"1X06SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"S1";"Reset";"6MM_SWITCH6MM_SWITCH";"6MM_SWITCH";"OMRON SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";
"S2";"GPIO0 Button";"6MM_SWITCH6MM_SWITCH";"6MM_SWITCH";"OMRON SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$1";"LEDFAB1206";"LEDFAB1206";"LED1206FAB";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"MCP1700T-3302E/TT";"MCP1700T-3302E/TT";"SOT95P237X112-3N";"";"https://snapeda.com/shop?store=Arrow+Americas&id=4791194";"Unavailable";" IC REG LINEAR 3.3V 250MA SOT23-3 ";"https://snapeda.com/shop?store=DigiKey&id=4791194";"Microchip Technology";"https://snapeda.com/shop?store=Mouser&id=4791194";"MCP1700T-3302E/TT";"";"";"";"None";"";"None";
"U$3";"LEDFAB1206";"LEDFAB1206";"LED1206FAB";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$4";"LEDFAB1206";"LEDFAB1206";"LED1206FAB";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$5";"LEDFAB1206";"LEDFAB1206";"LED1206FAB";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$6";"TEMP-HUM-SENSOR-DHT11";"TEMP-HUM-SENSOR-DHT11";"TEMP-HUM-SENSOR-DHT11";"DHT11 - digital humidity & temperature sensor";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$7";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$9";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$10";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"ESP-WROOM-32";"ESP-WROOM-32";"ESP-WROOM-32";"Espressif Systems ESP-WROOM-32";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U2";"EL817(S)(D)(TU)-V";"EL817(S)(D)(TU)-V";"SOIC254P1030X460-4N";"Optocoupler DC-IN 1-CH Transistor DC-OUT 4-Pin PDIP Tube";"";"Unavailable";" Optoisolator Transistor Output 5000Vrms 1 Channel 4-SMD ";"";"Everlight Electronics";"";"EL817(S)(D)(TU)-V";"";"";"";"SMD-4 Everlight";"";"None";
"U3";"EL817(S)(D)(TU)-V";"EL817(S)(D)(TU)-V";"SOIC254P1030X460-4N";"Optocoupler DC-IN 1-CH Transistor DC-OUT 4-Pin PDIP Tube";"";"Unavailable";" Optoisolator Transistor Output 5000Vrms 1 Channel 4-SMD ";"";"Everlight Electronics";"";"EL817(S)(D)(TU)-V";"";"";"";"SMD-4 Everlight";"";"None";
"U4";"EL817(S)(D)(TU)-V";"EL817(S)(D)(TU)-V";"SOIC254P1030X460-4N";"Optocoupler DC-IN 1-CH Transistor DC-OUT 4-Pin PDIP Tube";"";"Unavailable";" Optoisolator Transistor Output 5000Vrms 1 Channel 4-SMD ";"";"Everlight Electronics";"";"EL817(S)(D)(TU)-V";"";"";"";"SMD-4 Everlight";"";"None";
"U5";"EL817(S)(D)(TU)-V";"EL817(S)(D)(TU)-V";"SOIC254P1030X460-4N";"Optocoupler DC-IN 1-CH Transistor DC-OUT 4-Pin PDIP Tube";"";"Unavailable";" Optoisolator Transistor Output 5000Vrms 1 Channel 4-SMD ";"";"Everlight Electronics";"";"EL817(S)(D)(TU)-V";"";"";"";"SMD-4 Everlight";"";"None";
"VALVESOLENOID_01";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";"";"";"";"";"";"";"237-102";"unknown";"70K9898";"";"";"";
"VALVESOLENOID_02";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";"";"";"";"";"";"";"237-102";"unknown";"70K9898";"";"";"";
"VALVESOLENOID_03";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";"";"";"";"";"";"";"237-102";"unknown";"70K9898";"";"";"";
"Y1";"ECS-.327-12.5-13X";"ECS-.327-12.5-13X";"XTAL_ECS-.327-12.5-13X";"Crystal  Cylindrical Can, Radial";"";"Unavailable";" 32.768kHz ±20ppm Crystal 12.5pF 35 kOhms Cylindrical Can, Radial ";"";"ECS Inc.";"";"ECS-.327-12.5-13X";"";"";"";"Cylindrical Can Radial  ECS International";"";"None";
